FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
400001146,FS-6747329,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,5.0,UT-ASF-089,EKW1,FLAT,,,,,,2016,6/29/2016 0:00,181,2032.0,0.25,A,39.91944444,-110.9244444,USFS,UT,051,49051,Wasatch County
400001147,FS-6750507,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,10.0,UT-ASF-133,EKW1,ANTELOPE,,,,,,2016,7/20/2016 0:00,202,1339.0,0.1,A,40.95194444,-109.5422222,USFS,UT,009,49009,Daggett County
400001148,FS-6750615,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,11.0,UT-ASF-148,KHZ9,UINTA,,,,,,2016,7/24/2016 0:00,206,2209.0,0.1,A,40.62722222,-110.1502778,USFS,UT,013,49013,Duchesne County
400001149,FS-6750387,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,9.0,UT-ASF-098,EKW1,DJ TANK,,,,,,2016,7/2/2016 0:00,184,1505.0,0.1,A,40.92888889,-109.4025,USFS,UT,009,49009,Daggett County
400001150,FS-6762021,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,15.0,UT-ASF-225,KM7P,FALLING ROCK,,,,,,2016,8/22/2016 0:00,235,808.0,76.5,C,40.6625,-110.6897222,USFS,UT,013,49013,Duchesne County
400001151,FS-6737142,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,7.0,UT-ASF-091,EKW1,PIPE CREEK,,,,,,2016,6/30/2016 0:00,182,1529.0,0.1,A,40.89777778,-109.42,USFS,UT,009,49009,Daggett County
400001152,FS-6737058,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,3.0,UT-ASF-086,EKW1,BEAR TOP,,,,,,2016,6/28/2016 0:00,180,2107.0,0.25,A,40.93888889,-109.5294444,USFS,UT,009,49009,Daggett County
400001153,FS-6737115,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,6.0,UT-ASF-090,EKW1,DAM OVERLOOK,,,,,,2016,6/30/2016 0:00,182,1456.0,0.1,A,40.92166667,-109.4222222,USFS,UT,009,49009,Daggett County
400001154,FS-6737158,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,8.0,UT-ASF-097,EKW1,DAVENPORT,,,,,,2016,7/2/2016 0:00,184,1403.0,0.25,A,40.83388889,-109.3713889,USFS,UT,047,49047,Uintah County
400001155,FS-6749346,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,1.0,UT-ASF-015,J62D,HELLS CANYON,,,,,,2016,3/20/2016 0:00,80,1830.0,3.0,B,40.55611111,-110.345,USFS,UT,013,49013,Duchesne County
400001156,FS-6750366,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,2.0,UT-ASF-038,J965,LOWER STILLWATER,,,,,,2016,6/10/2016 0:00,162,1534.0,0.1,A,40.50472222,-110.5894444,USFS,UT,013,49013,Duchesne County
400001157,FS-6750060,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,4.0,UT-ASF-087,EKW1,HORSE,,,,,,2016,6/29/2016 0:00,181,1454.0,0.1,A,39.91361111,-110.9283333,USFS,UT,051,49051,Wasatch County
400001158,FS-6750351,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,17.0,UT-ASF-284,EKW1,WHITE CLOUD LOOP,,,,,,2016,9/15/2016 0:00,259,2112.0,0.1,A,40.77277778,-109.6594444,USFS,UT,047,49047,Uintah County
400001159,FS-6751509,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,12.0,UT-ASF-205,EKW1,DOWD MOUNTAIN,,,,,,2016,8/11/2016 0:00,224,1549.0,0.1,A,40.88861111,-109.6138889,USFS,UT,009,49009,Daggett County
400001160,FS-6754159,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,16.0,UT-ASF-229,EKW1,ANTHRO,,,,,,2016,8/23/2016 0:00,236,1459.0,29.0,C,39.89416667,-110.5008333,USFS,UT,013,49013,Duchesne County
400001161,FS-6754107,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,14.0,UT-ASF-209,EKW1,DIAMOND,,,,,,2016,8/12/2016 0:00,225,1443.0,0.75,B,40.81027778,-109.3761111,USFS,UT,047,49047,Uintah County
400001162,FS-6754062,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,13.0,UT-ASF-207,EKW1,EAGLE,,,,,,2016,8/12/2016 0:00,225,1255.0,0.1,A,40.86472222,-109.5730556,USFS,UT,009,49009,Daggett County
400001163,FS-6754197,FED,FS-FIRESTAT,FS,USUTASF,Ashley National Forest,401,Ashley National Forest,18.0,UT-ASF-295,KR17,RESERVATION RIDGE,,,,,,2016,10/8/2016 0:00,282,1852.0,0.1,A,39.8725,-110.8177778,USFS,UT,013,49013,Duchesne County
400001210,FS-6750178,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,33.0,04,KPA0,EAST CREEK,,,,,,2016,9/2/2016 0:00,246,1132.0,0.1,A,37.62666667,-112.2280556,USFS,UT,017,49017,Garfield County
400001211,FS-6729280,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,15.0,02,KE0B,BOUNDARY,,,,,,2016,7/8/2016 0:00,190,900.0,0.1,A,37.65583333,-112.1605556,USFS,UT,017,49017,Garfield County
400001212,FS-6711377,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,3.0,01,J8BE,WEED,,,,,,2016,4/20/2016 0:00,111,1152.0,0.1,A,37.67111111,-112.1783333,USFS,UT,017,49017,Garfield County
400001213,FS-6729466,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,18.0,03,EKW4,CASSIDY,,,,,,2016,7/21/2016 0:00,203,1325.0,10.0,C,37.77277778,-112.2847222,USFS,UT,017,49017,Garfield County
400001214,FS-6711376,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,2.0,02,J6FY,VIEW 2,,,,,,2016,2/28/2016 0:00,59,1505.0,0.1,A,37.24722222,-113.5608333,USFS,UT,053,49053,Washington County
400001215,FS-6711375,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,1.0,01,J6FX,VIEW,,,,,,2016,2/28/2016 0:00,59,1505.0,0.1,A,37.24361111,-113.5625,USFS,UT,053,49053,Washington County
400001216,FS-6711387,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,9.0,06,KAW9,ASPEN,2016_4308447_ASPEN,,,,,2016,6/15/2016 0:00,167,430.0,355.0,E,37.57222222,-113.3088889,USFS,UT,021,49021,Iron County
400001217,FS-6750148,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,36.0,10,EKW4,HARMONY HEIGHTS,,,,,,2016,9/13/2016 0:00,257,1743.0,0.5,B,37.44888889,-113.3036111,USFS,UT,053,49053,Washington County
400001218,FS-6711385,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,7.0,05,KA0Y,SADDLE,2016_4308849_SADDLE,,UT3736211355320160613,SADDLE,,2016,6/13/2016 0:00,165,1202.0,2299.0,F,37.36194444,-113.5527778,USFS,UT,021,49021,Iron County
400001219,FS-6746260,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,32.0,13,EKW4,DRY CAMP,,,,,,2016,8/25/2016 0:00,238,1430.0,0.1,A,37.58111111,-112.7147222,USFS,UT,021,49021,Iron County
400001220,FS-6711378,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,5.0,03,EKW4,OLD ROAD,,,,,,2016,6/13/2016 0:00,165,849.0,0.1,A,37.6325,-113.5330556,USFS,UT,021,49021,Iron County
400001221,FS-6711388,FED,FS-FIRESTAT,FS,USUTDIF,Dixie National Forest,407,Dixie National Forest,10.0,07,KA1L,PINE CANYON,2016_4275049_PINE CANYON,,,,,2016,6/15/2016 0:00,167,1441.0,105.0,D,37.54138889,-113.3213889,USFS,UT,021,49021,Iron County
